index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
75044cd2c56774503646608caef6e6f6,2025-11-04T10:33:11Z,'Lawine',www.morgenpost.de,de,0.8,Himalaya: Deutscher Bergsteiger durch Lawine getötet,"Eine Expedition im Himalaya-Gebirge nimmt ein schlimmes Ende. Mehrere Bergsteiger sterben, weitere werden vermisst. Ihr Basislager wurde von einer Lawine erfasst.",https://www.morgenpost.de/panorama/article410374789/himalaya-deutscher-bergsteiger-durch-lawine-getoetet.html,https://img.sparknews.funkemedien.de/410374820/410374820_1762251983_v16_9_1600.jpeg,,"Blick aus dem Flugzeug auf das Himalaya-Gebirge mit dem Mount Everest. © Sina Schuldt/dpa | Sina Schuldt
Bei einer Lawine auf ein Basislager von Bergsteigern im Himalaya sind ein Deutscher und sechs… [+1852 chars]",
61c42dd292b7161c7efa2140d5beeac5,2025-11-04T10:45:03Z,'Lawine',www.welt.de,de,0.8,Deutsche Bergsteiger stirbt durch Lawine im Himalaja,"Erneut ist es im Himalaja zu einem schweren Unglück gekommen: Eine Schneelawine hat ein Basislager getroffen, sieben Bergsteiger wurden getötet. Nun sollen ihre Leichen geborgen werden.",https://www.welt.de/vermischtes/article6909d37a154e6f61444c4e4d/basislager-getroffen-deutsche-bergsteiger-stirbt-durch-lawine-im-himalaja.html,https://images.welt.de/6909d37a154e6f61444c4e4d/4b310c65eee6cd75c51c8b724965b9c2-master/ci16x9-w1200/402383515-jpg,,"Erneut ist es im Himalaja zu einem schweren Unglück gekommen: Eine Schneelawine hat ein Basislager getroffen, sieben Bergsteiger wurden getötet. Nun sollen ihre Leichen geborgen werden.Bei einer Lawi… [+1938 chars]",
fd3c5fb7a4cc24fb6bfed3337324011f,2025-11-04T14:32:02Z,'Lawine',www.zeit.de,de,0.8,Himalaya: Deutscher wohl unter Toten bei Lawinenunglück in Nepal,Hier finden Sie Informationen zu dem Thema „Himalaya“. Lesen Sie jetzt „Deutscher wohl unter Toten bei Lawinenunglück in Nepal“.,https://www.zeit.de/news/2025-11/04/deutscher-wohl-unter-toten-bei-lawinenunglueck-in-nepal,https://img.zeit.de/news/2025-11/04/deutscher-wohl-unter-toten-bei-lawinenunglueck-in-nepal-image-group/wide__1300x731,,Beim jüngsten Lawinenunglück im Himalaya-Gebirge sind nach Medienberichten sieben Bergsteiger ums Leben gekommen - darunter wohl auch ein Deutscher. Von den lokalen Behörden in Nepal wurden bis zum f… [+2478 chars],
2452b1f9f1cf6d8951663cab27b521b4,2025-11-04T14:32:02Z,'Lawine',www.stern.de,de,0.8,Himalaya: Deutscher wohl unter Toten bei Lawinenunglück in Nepal,"Eine Expedition im Himalaya-Gebirge nimmt ein schlimmes Ende. Mehrere Bergsteiger sterben, darunter wohl auch ein Deutscher. Sie wurden während einer Klettertour von einer Lawine erfasst.",https://www.stern.de/panorama/himalaya--deutscher-wohl-unter-toten-bei-lawinenunglueck-in-nepal-36188454.html,https://image.stern.de/36188456/t/Rq/v1/w1440/r1.7778/-/04--dz3e27b5rgv1axs2048jpeg---76cff06555711dde.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Eine Expedition im Himalaya-Gebirge nimmt ein schlimmes Ende. Mehrere Bergsteiger sterben, darunter wohl auch ein Deutscher. Sie wurden während e… [+2681 chars]",
2bb5da80ab4dee02bcc175e7e09b1742,2025-11-04T14:33:06Z,'Lawine',www.tagesspiegel.de,de,0.8,Himalaya: Deutscher wohl unter Toten bei Lawinenunglück in Nepal,"Eine Expedition im Himalaya-Gebirge nimmt ein schlimmes Ende. Mehrere Bergsteiger sterben, darunter wohl auch ein Deutscher. Sie wurden während einer Klettertour von einer Lawine erfasst.",https://www.tagesspiegel.de/gesellschaft/panorama/himalaya-deutscher-wohl-unter-toten-bei-lawinenungluck-in-nepal-14754599.html,https://www.tagesspiegel.de/images/14754596/alternates/BASE_16_9_W1400/1762266786000/himalaya-gebirge.jpeg,,Beim jüngsten Lawinenunglück im Himalaya-Gebirge sind nach Medienberichten sieben Bergsteiger ums Leben gekommen - darunter wohl auch ein Deutscher. Von den lokalen Behörden in Nepal wurden bis zum f… [+2532 chars],
e67e5da43a464dc88e14813cc6c382a2,2025-11-07T05:37:00Z,'Permafrost',tirol.orf.at,de,0.0,Ökologin erhält Preis für Permafrostforschung,Christina Biasi vom Institut für Ökologie der Uni Innsbruck ist zusammen mit einem internationalen Team mit dem renommierten Synergy Grant des Europäischen Forschungsrats  ausgezeichnet worden. Biasi untersucht das Auftauen des Permafrosts und die Folgen.,https://tirol.orf.at/stories/3328917/,https://ibs.orf.at/tir?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2025%2F45%2F93%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F2825126_master_1090493_innsbrucker_oekologin_christina_biasi_erhaelt_erc_synergy_grant_fuer_permafrost-forschung_.jpg%3Fs%3Dfd2821bb624c707bb694fbde21b36c19b8ec94d7,,Nördliche Torfmoore gehören zu den größten Kohlenstoffspeichern der Erde. In den arktischen und subarktischen Regionen steigt die Temperatur deutlich schneller als im globalen Durchschnitt. In den le… [+3402 chars],
e028011da9444c6d724514b42c221ebe,2025-11-07T08:01:00Z,'Permafrost',www.pcgames.de,de,0.0,Permafrost: Survival-Spiel im Eis erscheint erst 2026,Bereits vor dem Release machte das Survival-Spiel Permafrost mehrfach auf sich aufmerksam. Allerdings müssen sich die Fans wohl oder übel noch etwas länger in Geduld üben.,https://www.pcgames.de/Spiele-Thema-239104/News/Release-von-Permafrost-verschoben-1485971/,https://www.pcgames.de/screenshots/original/2025/11/Permafrost-pc-games_artwork.jpg,,Die Faszination der Survival-Spiele ist nahezu ungebrochen. Millionen Fans auf der ganzen Welt stürzen sich auch weiterhin liebend gerne in den Überlebenskampf. An Nachschub dürfte es in der näheren … [+2706 chars],
cfa6c33c841a81da804b5a0c58ba27cd,2025-11-07T10:30:10Z,'Permafrost',www.diepresse.com,de,0.0,"Neue Studien, die Interesse wecken: Wahrnehmung von Zeit, menschliche Ausdauergrenze, Bambus-Kunststoff und Mikroben aus Permafrost [premium]","Wir ahnten es: Altersbedingte Veränderungen im Gehirn sorgen dafür, dass die Zeit mit jedem Jahr schneller zu vergehen scheint. Lesen Sie davon und von anderen neuen Erkenntnissen aus der Welt der Wissenschaft hier im Schnelldurchlauf.",https://www.diepresse.com/20279510/neue-studien-die-interesse-wecken-wahrnehmung-von-zeit-menschliche-und,https://img.diepresse.com/public/incoming/b8e0td-imago-images-0827025080/alternates/DPR_SOCIAL_NACHRICHTEN/imago%20images%200827025080,,"Schon wieder ein Jahr um? Wer kennt diesen Gedanken nicht. Die Neurowissenschaftlerin Selma Lugtmeijer (GB) hat Hinweise darauf gefunden, dass altersbedingte Veränderungen im Gehirn daran schuld sind… [+1856 chars]",
c2e60736058b19e59c621ff3e8ee814c,2025-11-08T04:45:06Z,'Lawine',www.stern.de,de,0.0,Bergsport: Beim Start in die Wintersaison ist Vorsicht geboten,"Anfang November endet die sommerliche Bergsaison, es kommt die Zeit der Winterwanderer, Skitourengeher und Skifahrer. Einen täglichen Lawinenlagebericht gibt es in Bayern mangels Schnee noch nicht.",https://www.stern.de/gesellschaft/regional/bayern/bergsport--beim-start-in-die-wintersaison-ist-vorsicht-geboten-36228998.html,https://image.stern.de/36229000/t/KO/v1/w1440/r1.7778/-/08--hvof3ubdl5v5axs2048jpeg---413441f42be4bfd0.jpg,http://web.archive.org/web/20251109154236/https://www.stern.de/gesellschaft/regional/bayern/bergsport--beim-start-in-die-wintersaison-ist-vorsicht-geboten-36228998.html,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Anfang November endet die sommerliche Bergsaison, es kommt die Zeit der Winterwanderer, Skitourengeher und Skifahrer. Einen täglichen Lawinenlage… [+2766 chars]",

